subject_type,subject_id,region_code,variable,value_num,value_txt,unit,quality,note
municipality,BATERNO,ES-EX,zar_zone,,SIERRAS DE SIRUELA-ZARZA CAPILLA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BELVÍS DE MONROY,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BELVÍS DE MONROY,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BENQUERENCIA DE LA SERENA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BENQUERENCIA DE LA SERENA,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BIENVENIDA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,BIENVENIDA,ES-EX,zar_zone,,TENTUDÍA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABAÑAS DEL CASTILLO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABAÑAS DEL CASTILLO,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABEZA LA VACA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABEZA LA VACA,ES-EX,zar_zone,,TENTUDÍA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABEZABELLOSA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABEZABELLOSA,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABEZUELA DEL VALLE,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABEZUELA DEL VALLE,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABRERO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CABRERO,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CÁCERES,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CÁCERES,ES-EX,zar_zone,,SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CACHORRILLA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CACHORRILLA,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CADALSO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CADALSO,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CALERA DE LEON,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CALERA DE LEON,ES-EX,zar_zone,,TENTUDÍA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMINOMORISCO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMINOMORISCO,ES-EX,zar_zone,,HURDES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMPANARIO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMPANARIO,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMPILLO DE DELEITOSA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMPILLO DE DELEITOSA,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMPILLO DE LLERENA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAMPILLO DE LLERENA,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAÑAVERAL,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAÑAVERAL,ES-EX,zar_zone,,MONFRAGÜE,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAPILLA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CAPILLA,ES-EX,zar_zone,,SIERRAS DE SIRUELA-ZARZA CAPILLA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CARBAJO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CARBAJO,ES-EX,zar_zone,,VALENCIA DE ALCÁNTARA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CARMONITA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CARMONITA,ES-EX,zar_zone,,SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CARRASCALEJO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CARRASCALEJO,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAR DE PALOMERO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAR DE PALOMERO,ES-EX,zar_zone,,HURDES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASARES DE LAS HURDES,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASARES DE LAS HURDES,ES-EX,zar_zone,,HURDES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE DON ANTONIO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE DON ANTONIO,ES-EX,zar_zone,,SIERRA DE SAN PEDRO,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE DON PEDRO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE DON PEDRO,ES-EX,zar_zone,,SIBERIA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE MILLÁN,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE MILLÁN,ES-EX,zar_zone,,MONFRAGÜE,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE MIRAVETE,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE MIRAVETE,ES-EX,zar_zone,,MONFRAGÜE,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE REINA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DE REINA,ES-EX,zar_zone,,TENTUDÍA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DEL CASTAÑAR,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DEL CASTAÑAR,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DEL MONTE,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASAS DEL MONTE,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASATEJADA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASATEJADA,ES-EX,zar_zone,,VERA-TIETAR,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASTAÑAR DE IBOR,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASTAÑAR DE IBOR,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASTILBLANCO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASTILBLANCO,ES-EX,zar_zone,,SIBERIA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASTUERA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CASTUERA,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CECLAVÍN,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CECLAVÍN,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CEDILLO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CEDILLO,ES-EX,zar_zone,,VALENCIA DE ALCÁNTARA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CILLEROS,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CILLEROS,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,COLLADO DE LA VERA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,COLLADO DE LA VERA,ES-EX,zar_zone,,VERA-TIETAR,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CUACOS DE YUSTE,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,CUACOS DE YUSTE,ES-EX,zar_zone,,VERA-TIETAR,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,DELEITOSA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,DELEITOSA,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,DESCARGAMARÍA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,DESCARGAMARÍA,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,DON BENITO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,DON BENITO,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,EL TORNO,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,EL TORNO,ES-EX,zar_zone,,JERTE-AMBROZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ELJAS,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ELJAS,ES-EX,zar_zone,,SIERRA DE GATA,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ESCURIAL,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ESCURIAL,ES-EX,zar_zone,,MONTÁNCHEZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ESPARRAGOSA DE LA SERENA,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,ESPARRAGOSA DE LA SERENA,ES-EX,zar_zone,,SIERRAS CENTRALES DE BADAJOZ,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,FRESNEDOSO DE IBOR,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,FRESNEDOSO DE IBOR,ES-EX,zar_zone,,IBORES,,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
municipality,FUENLABRADA DE LOS MONTES,ES-EX,zar,1,,ja/nee,ind,"machinetranscriptie van Anexo I van Decreto 260/2014, NIET nagelopen tegen het origineel; de transcriptie sprak zichzelf tegen over de aantallen"
